"date","ON","PEI","QC","SK","AB","BC","MB","NB","NS","TR","US","nonUS","ALLCANotNL","AllFR"
2020-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-02,2,0,0,0,0,0,0,0,3,0,0,0,5,0
2020-09-03,2,1,0,0,0,0,0,0,7,0,0,0,10,0
2020-09-04,1,0,0,0,0,1,0,1,11,0,0,0,14,0
2020-09-05,1,1,0,0,1,0,0,1,10,0,0,0,14,0
2020-09-06,2,0,0,0,4,1,0,1,9,0,0,0,17,0
2020-09-07,4,0,0,0,0,0,0,0,10,5,0,1,19,1
2020-09-08,2,0,0,0,0,0,0,0,5,0,1,0,7,1
2020-09-09,4,0,0,0,1,0,0,0,8,0,0,0,13,0
2020-09-10,5,1,0,0,1,0,0,1,14,1,0,0,23,0
2020-09-11,2,2,1,0,2,0,0,0,21,0,0,0,28,0
2020-09-12,4,0,0,0,2,1,0,0,8,0,1,0,15,1
2020-09-13,8,0,1,0,1,0,0,0,7,0,1,0,17,1
2020-09-14,4,0,2,0,1,0,0,8,18,0,0,0,33,0
2020-09-15,7,0,2,1,1,1,0,0,14,0,0,0,26,0
2020-09-16,5,0,0,0,2,0,0,0,5,0,1,0,12,1
2020-09-17,5,0,4,1,3,0,0,1,32,1,0,0,47,0
2020-09-18,13,0,2,0,5,1,2,3,24,0,0,0,50,0
2020-09-19,9,3,2,0,1,0,0,0,23,0,0,0,38,0
2020-09-20,11,0,3,2,4,2,1,2,23,1,0,0,49,0
2020-09-21,10,1,5,0,5,1,0,4,29,0,1,0,55,1
2020-09-22,9,0,1,0,2,2,0,0,8,1,0,0,23,0
2020-09-23,14,0,0,0,7,2,0,1,6,0,0,1,30,1
2020-09-24,15,0,0,0,9,2,0,6,58,1,0,1,91,1
2020-09-25,18,1,4,0,7,2,2,0,27,0,0,0,61,0
2020-09-26,16,1,0,0,2,1,0,3,30,1,0,0,54,0
2020-09-27,9,0,4,0,2,0,0,3,21,0,0,1,39,1
2020-09-28,15,1,2,0,6,3,0,5,33,0,1,0,65,1
2020-09-29,9,0,3,0,6,0,1,1,20,0,0,2,40,2
2020-09-30,24,0,0,1,15,3,1,2,25,1,0,0,72,0
2020-10-01,33,2,3,1,11,2,0,2,42,5,2,2,101,4
2020-10-02,28,3,6,0,5,1,0,6,34,0,0,1,83,1
2020-10-03,16,3,0,0,5,3,0,5,44,2,0,1,78,1
2020-10-04,25,1,2,0,11,0,1,4,22,0,1,0,66,1
2020-10-05,12,0,1,0,5,1,0,5,28,0,0,0,52,0
2020-10-06,14,0,1,0,5,4,0,1,16,2,0,0,43,0
2020-10-07,12,3,3,0,6,2,0,1,25,0,0,0,52,0
2020-10-08,14,2,1,0,6,1,0,3,41,0,1,0,68,1
2020-10-09,21,2,1,1,9,0,1,1,31,0,0,0,67,0
2020-10-10,27,0,2,0,9,2,0,4,18,0,2,2,62,4
2020-10-11,13,0,1,4,11,3,0,5,33,0,3,0,70,3
2020-10-12,15,1,7,0,6,0,0,6,27,1,2,1,63,3
2020-10-13,21,0,2,3,6,4,0,7,44,1,2,0,88,2
2020-10-14,22,3,0,1,10,1,0,1,31,3,0,1,72,1
2020-10-15,17,0,2,1,22,2,0,5,31,1,1,0,81,1
2020-10-16,19,4,1,1,10,3,1,7,36,1,3,2,83,5
2020-10-17,17,2,1,0,4,2,0,1,14,2,0,2,43,2
2020-10-18,10,1,2,1,10,5,1,3,14,0,0,0,47,0
2020-10-19,29,0,5,1,16,5,2,5,19,0,1,2,82,3
2020-10-20,13,0,2,1,6,1,0,0,15,2,1,0,40,1
2020-10-21,16,1,1,1,7,2,0,2,32,3,0,3,65,3
2020-10-22,21,0,2,0,13,3,1,3,34,1,0,2,78,2
2020-10-23,15,0,6,0,5,2,0,1,30,1,0,5,60,5
2020-10-24,15,0,0,2,7,2,2,0,31,3,2,0,62,2
