"REF_DATE","total"
2019-01-01,9146
2019-02-01,8419
2019-03-01,15991
2019-04-01,23064
2019-05-01,24262
2019-06-01,22361
2019-07-01,45050
2019-08-01,24926
2019-09-01,64731
2019-10-01,29000
2019-11-01,10917
2019-12-01,6898
2020-01-01,7547
2020-02-01,8337
2020-03-01,9577
2020-04-01,3305
2020-05-01,4163
2020-06-01,4343
2020-07-01,5219
2020-08-01,4126
2020-09-01,5632
2020-10-01,4721
2020-11-01,3500
2020-12-01,2659
2021-01-01,2244
2021-02-01,2409
2021-03-01,2726
2021-04-01,3748
2021-05-01,3691
2021-06-01,4042
2021-07-01,4002
2021-08-01,4133
2021-09-01,5419
2021-10-01,5286
2021-11-01,4129
2021-12-01,3628
