"date","ON","PEI","QC","SK","AB","BC","MB","NB","NS","TR","INT"
2020-09-01,119,6,18,2,46,11,3,22,264,6,208
2020-09-02,121,6,18,2,46,11,3,22,267,6,208
2020-09-03,121,7,18,2,46,11,3,22,271,6,208
2020-09-04,120,6,18,2,46,12,3,23,275,6,208
2020-09-05,120,7,18,2,47,11,3,23,274,6,208
2020-09-06,121,6,18,2,50,12,3,23,273,6,208
2020-09-07,123,6,18,2,46,11,3,22,274,11,209
2020-09-08,121,6,18,2,46,11,3,22,269,6,209
2020-09-09,123,6,18,2,47,11,3,22,272,6,208
2020-09-10,124,7,18,2,47,11,3,23,278,6,208
2020-09-11,121,8,19,2,48,11,3,22,285,6,208
2020-09-12,123,6,18,2,48,12,3,22,272,6,209
2020-09-13,127,6,19,2,47,11,3,22,271,6,209
2020-09-14,123,6,20,2,47,11,3,30,282,6,208
2020-09-15,126,6,20,3,47,12,3,22,278,6,208
2020-09-16,124,6,18,2,48,11,3,22,269,6,209
2020-09-17,124,6,22,3,49,11,3,23,296,6,208
2020-09-18,132,6,20,2,51,12,5,25,288,6,208
2020-09-19,128,9,20,2,47,11,3,22,287,6,208
2020-09-20,130,6,21,4,50,13,4,24,287,7,208
2020-09-21,129,7,23,2,51,12,3,26,293,6,209
2020-09-22,128,6,19,2,48,13,3,22,272,7,208
2020-09-23,133,6,18,2,53,13,3,23,270,6,209
2020-09-24,134,6,18,2,55,13,3,28,322,7,209
2020-09-25,137,7,22,2,53,13,5,22,291,6,208
2020-09-26,135,7,18,2,48,12,3,25,294,7,208
2020-09-27,128,6,22,2,48,11,3,25,285,6,209
2020-09-28,134,7,20,2,52,14,3,27,297,6,209
2020-09-29,128,6,21,2,52,11,4,23,284,6,210
2020-09-30,143,6,18,3,61,14,4,24,289,7,208
2020-10-01,158,8,18,5,75,16,2,22,225,13,188
2020-10-02,153,9,21,4,69,15,2,26,217,8,185
2020-10-03,141,9,15,4,69,17,2,25,227,10,185
2020-10-04,150,7,17,4,75,14,3,24,205,8,185
2020-10-05,137,6,16,4,69,15,2,25,211,8,184
2020-10-06,139,6,16,4,69,18,2,21,199,10,184
2020-10-07,137,9,18,4,70,16,2,21,208,8,184
2020-10-08,139,8,16,4,70,15,2,23,224,8,185
2020-10-09,146,8,16,5,73,14,3,21,214,8,184
2020-10-10,152,6,17,4,73,16,2,24,201,8,188
2020-10-11,138,6,16,8,75,17,2,25,216,8,187
2020-10-12,140,7,22,4,70,14,2,26,210,9,187
2020-10-13,146,6,17,7,70,18,2,27,227,9,186
2020-10-14,147,9,15,5,74,15,2,21,214,11,185
2020-10-15,142,6,17,5,86,16,2,25,214,9,185
2020-10-16,144,10,16,5,74,17,3,27,219,9,189
2020-10-17,142,8,16,4,68,16,2,21,197,10,186
2020-10-18,135,7,17,5,74,19,3,23,197,8,184
2020-10-19,154,6,20,5,80,19,4,25,202,8,187
2020-10-20,138,6,17,5,70,15,2,20,198,9,185
2020-10-21,141,7,16,5,71,16,2,22,215,11,187
2020-10-22,146,6,17,4,77,17,3,23,217,9,186
2020-10-23,140,6,21,4,69,16,2,21,213,9,189
2020-10-24,140,6,15,6,71,16,4,20,214,11,186
2020-10-25,136,6,19,4,69,16,3,22,201,8,186
2020-10-26,142,6,17,4,74,19,3,22,210,8,185
2020-10-27,136,6,16,4,72,15,3,21,199,8,184
2020-10-28,134,6,16,4,82,15,3,25,200,10,185
2020-10-29,150,8,19,6,91,17,2,20,197,12,185
2020-10-30,136,6,16,4,70,15,2,20,202,8,186
2020-10-31,149,6,17,4,70,14,2,22,190,9,184
2020-11-01,106,2,17,1,75,20,2,25,159,7,151
2020-11-02,103,2,20,1,65,19,3,26,166,6,151
2020-11-03,99,3,20,1,65,27,2,20,160,5,152
2020-11-04,125,3,17,1,71,19,2,27,164,5,160
